	title	etime	content	vote	comment
751	라인 오랜만에 깔았는데	35분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
752	언교원 영어회화 들을만 할까요	38분 전	고민되네ㅠ	0	8
753	의치수약간 1학년으로 보내주면	38분 전	가니? 타전공생들만	0	12
754	5동 쓰레기장 진짜 누구냐	39분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
755	복학생인데 공부해도 잘 모르겠다	40분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
756	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	40분 전	??	0	5
757	법학개론 ㅇㅇㅅ교수님	43분 전	내일 대면이야...?	0	1
758	마케팅관리 ㄱㅎㅈ 교수님	43분 전	필기 구해봅니다..ㅠㅠ	0	2
759	너네 시험 전날에 교양	46분 전	대충 몇시간 보고 가냐??	0	3
760	전역하면 이성한테 플러스점수있음?	방금	못생기면 있어봤자겠지만	0	1
761	내가 이제 26살인데	3분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	3
762	치킨빼고 치즈볼만 먹고싶다	4분 전	ㅠㅅㅠ	0	0
763	지금 학교 다니는 남자 21학번은	4분 전	군대 안간거누	0	2
764	약대	5분 전	학부몇학번부터 생겼어?	0	2
765	낼 경영과 사회 ㄹㅅㅇ	5분 전	대면 맞지??	0	0
766	원가회계 공부하신분.,	6분 전	전 5장이 너무 어렵습니다..	0	0
767	공.부.시.러.	6분 전	하.기.시.러	0	1
768	사회적가치와개인의자유	8분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
769	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	9분 전	나는 포기한 사람 ㅎㅎ	0	0
770	공2 쪽문에서 지갑잃어리신분	9분 전	02년생 김다혜씨 쪽지주세요~	0	0
771	잘 하는 게 없으면	10분 전	일단 돈이라도 버는 게 맞지?	0	0
772	근데왜	10분 전	올해는 월드컵을 겨울에해 춥게	0	2
773	쪽문에 붕어빵	10분 전	오늘도 있나요?	0	3
774	그 핫게 교수님 냥이	12분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
775	나같은 스타일있나?	12분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
776	행정학개론	13분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
777	디자인과 생활	14분 전	디자인과 생활 중간고사 보나요 ??????	0	0
778	나랑 랜소 예행연습할사람?	15분 전	쪽지줘~	0	1
779	24년 전역	16분 전	오긴 오냐	1	11
780	여친 ㅈㄴ질리는데 헤어질 구실좀..	18분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
781	도서관인사람	19분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
782	운동종목 남/여 차이	19분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	27
783	영어 발음기호	20분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
784	분리수거 막 하는 애들은	25분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
785	티빙 한 자리 남는 사람	27분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
786	배우 김유정	27분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
787	이거 다들 어떻게 생각함??	29분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
788	나처럼 생각하는 사람있냐	31분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
789	진지하게 와꾸 궁금하다	33분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
790	우리 형 밭대 17학번	33분 전	나랑 수능 성적 비슷함	0	4
791	라인 오랜만에 깔았는데	35분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
792	언교원 영어회화 들을만 할까요	38분 전	고민되네ㅠ	0	8
793	의치수약간 1학년으로 보내주면	38분 전	가니? 타전공생들만	0	12
794	5동 쓰레기장 진짜 누구냐	39분 전	짜장면 엎어놓고 튄거 싸대기 마렵네	1	0
795	복학생인데 공부해도 잘 모르겠다	40분 전	복학하니까 회계나 채권같이 계산하는건 감이 안잡힘 경상대는 시험 망치면 F주는곳 많음?	0	2
796	작년에 ㅇㅅㅇ교수님 생화학 들으신분 계신가요?	40분 전	??	0	5
797	법학개론 ㅇㅇㅅ교수님	43분 전	내일 대면이야...?	0	1
798	마케팅관리 ㄱㅎㅈ 교수님	43분 전	필기 구해봅니다..ㅠㅠ	0	2
799	너네 시험 전날에 교양	46분 전	대충 몇시간 보고 가냐??	0	3
800	전역하면 이성한테 플러스점수있음?	방금	못생기면 있어봤자겠지만	0	1
801	내가 이제 26살인데	3분 전	그동안 3천정도 모아둔 돈이 있는데  20대 초반을 보내면서 하고 싶은거 다해보면서 돈을 500정도 남기고 다 썼거든.  해외나가서 외국사람들이	0	3
802	치킨빼고 치즈볼만 먹고싶다	4분 전	ㅠㅅㅠ	0	0
803	지금 학교 다니는 남자 21학번은	4분 전	군대 안간거누	0	2
804	약대	5분 전	학부몇학번부터 생겼어?	0	2
805	낼 경영과 사회 ㄹㅅㅇ	5분 전	대면 맞지??	0	0
806	원가회계 공부하신분.,	6분 전	전 5장이 너무 어렵습니다..	0	0
807	공.부.시.러.	6분 전	하.기.시.러	0	1
808	사회적가치와개인의자유	8분 전	교수님 저 걍 안할게여 암기가 너무 싫어여 죄송해여 전공이 저 재밌어서.. 이거 못하겠어요	0	0
809	내일 투자론 ㅈㅎㄱ교수님꺼 포기안한 사람?	9분 전	나는 포기한 사람 ㅎㅎ	0	0
810	공2 쪽문에서 지갑잃어리신분	9분 전	02년생 김다혜씨 쪽지주세요~	0	0
811	잘 하는 게 없으면	10분 전	일단 돈이라도 버는 게 맞지?	0	0
812	근데왜	10분 전	올해는 월드컵을 겨울에해 춥게	0	2
813	쪽문에 붕어빵	10분 전	오늘도 있나요?	0	3
814	그 핫게 교수님 냥이	12분 전	입양하면 소식 올려주라...! 부탁해 너무 망충하고 하찮아서 귀엽더라... 아기고양이...	0	0
815	나같은 스타일있나?	12분 전	공부할때 개념이나 원리 같은건 이해 잘하고 증명이나 유도과정도 혼자 끄적이면서 이해 잘하는데 막상 문제 주어지면 쓰는걸 잘 못함 ㅠㅠ 그래서 개	0	3
816	행정학개론	13분 전	ㅇㅅㄱ교수님 화요일 수업하는 거 맞지?	0	0
817	디자인과 생활	14분 전	디자인과 생활 중간고사 보나요 ??????	0	0
818	나랑 랜소 예행연습할사람?	15분 전	쪽지줘~	0	1
819	24년 전역	16분 전	오긴 오냐	1	11
820	여친 ㅈㄴ질리는데 헤어질 구실좀..	18분 전	너무 애같아서 정 다 털림 초딩 만나는 느낌	0	10
821	도서관인사람	19분 전	공부끝나고 12시에 같이 집갈사람 구해요~!	0	4
822	운동종목 남/여 차이	19분 전	거의 앵간한 운동 종목에서 남자가 여자보다 운동성능이 훨씬 월등하잖아 체격 차이라든지 폭발적인 힘 차이라든지 여러 이유에서! 남여 격차가 많이 	0	27
823	영어 발음기호	20분 전	나만 볼줄몰라…? 난 안배웠는데	0	3
824	분리수거 막 하는 애들은	25분 전	교육 못 받은거임? 분리수거 방법을 몰라도 저렇게 까지는 안할텐데 왜 저렇게 하는지 참 궁금하네	0	5
825	티빙 한 자리 남는 사람	27분 전	딱 한 달만 하고 싶어 껴 줘..	0	3
826	배우 김유정	27분 전	은 남자들한테 인기 많음? 내 눈엔 되게 예쁜데	0	11
827	이거 다들 어떻게 생각함??	29분 전	난 존나 사회성 결여 + 쿨한척하는 사람같다고 생각함	0	15
828	나처럼 생각하는 사람있냐	31분 전	주변 보면 악착같이 돈 모으고 아끼는 사람들이 종종 있는데   나는 젊을때 대충 이십초반까지는 돈 모으기 보다는  사고 싶은거 사거나 여행 다니	0	12
829	진지하게 와꾸 궁금하다	33분 전	방구석에서 허벅지 긁지말고 앞에서 씨부려봐 너땜에 한남소리 듣지 ㅂ1신아	0	6
830	우리 형 밭대 17학번	33분 전	나랑 수능 성적 비슷함	0	4
831	라인 오랜만에 깔았는데	35분 전	카톡 때문에 깔았는데  몇 명 이성 친구들 어렸을 때 설정해둔 프로필 사진 다 보임 .. 흑역사도 몇 명 있어 보이고 ㅋㅋㅋㅋ 개웃겨	0	2
832	언교원 영어회화 들을만 할까요	38분 전	고민되네ㅠ	0	8
